Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
Abraham Lincoln;Montero; Isaac;Biografia;ABC;Protagonistas de la historia
Antologia poetica;Garcia Lorca;Federico;Poesia;Orbis;Biblioteca de Clasicos Universales
El extra�o caso del Dr. Jekill y del Sr. Hyde;Stevenson; Robert L.;;Jorge A. Mestas;Clasicos universales
Perry Mason - El caso de las manos heladas;Gardner; Erle Stanley;;Molino;
El Rey de Ys. Roma Mater;Anderson; Poul y Karen;;Edaf;
El Cadaver que desaparece( Sidney Zoom);;;;;
EL mejor lugar;Slyke;Helen van;;Bruguera;
Ocultismo medieval;Musquera; Xavier;Parapsicologia;A�o cero;
20 Poemas de amor y una Cancion desesperada;Neruda; Pablo;;Mexicanos Unidos;
Saladino;Chauvel; Genevieve;;Planeta de Agostini;Novela historica de la Edad Media
Los cuatro jinetes del Apocalipsis - Volumen I;Blasco Iba�ez; Vicente;;El Mundo;Las 100 mejores novelas
El Principe de la Niebla;Ruiz Zafon; Carlos;;Booket;
La campana sumergida;;;;;
Cuatro palabras;;;;;
La esfinge y otros poemas;Wilde; Oscar;Cuento;Espasa Calpe;Austral
Periplo escandinavo;;;;;
Hijo de Hombre;Roa Bastos;Augusto;Novela;Alfaguara;
Comte (54);Lopez Amo;Mireia;Filosofia;RBA;Comprender la Filosofia
Amores de invierno;Chamorro;Victor;;Cunillera;veinteduros
Conversacion en La Catedral - Volumen I;Vargas Llosa; Mario;;Seix Barral;Nueva Narrativa Hispanica
Juan Pablo II, pregonero de la verdad (Vol. II);Ferrer; Eusebio;;ABC;Biografias Vivas
La marea roja;Woolrich; Conrell;;Alianza;Alianza Cien
La Atlantida;;;;;
;Posamentier; Alfred S.;;;
El caballero del puente;Watson; William;;Planeta de Agostini;Novela historica de la Edad Media
Charles Lindbergh;Berg; A. Scott;;Plaza & Janes;
Angeles y Demonios;Berzosa Martinez;Raul;;BAC;Popular
Un santo asesinato;Harding; Paul;;Planeta de Agostini;Novela historica de la Edad Media
El manantial;Rand; Ayn;;Circulo de Lectores;
